SCT,SRT,SNOMED Fully Specified Name
133383009,L-8B9FA,Ferrandais cattle breed (organism)
133384003,L-8B9FB,Finnish Ayrshire cattle breed (organism)
133385002,L-8B9FC,Flemish cattle breed (organism)
133386001,L-8B9FD,Red Flemish cattle breed (organism)
133387005,L-8B9FE,Fort Cross cattle breed (organism)
133388000,L-8B9FF,Frati cattle breed (organism)
133389008,L-8BA00,Estonian Native cattle breed (organism)
133390004,L-8BA01,Faeroes cattle breed (organism)
133391000,L-8BA02,French Brown cattle breed (organism)
133392007,L-8BA03,Frijolillo cattle breed (organism)
133393002,L-8BA04,FRS cattle breed (organism)
133394008,L-8BA05,Gacko cattle breed (organism)
133395009,L-8BA06,Gado da Terra cattle breed (organism)
133396005,L-8BA07,Georgian Mountain cattle breed (organism)
133397001,L-8BA08,German Black Pied cattle breed (organism)
133398006,L-8BA09,German Black Pied Dairy cattle breed (organism)
133399003,L-8BA0A,Pechora cattle breed (organism)
133400005,L-8BA0B,Pee Wee cattle breed (organism)
133401009,L-8BA0C,Peloponnesus cattle breed (organism)
133402002,L-8BA0D,Pester cattle breed (organism)
133403007,L-8BA0E,Pie Rouge de l'Est cattle breed (organism)
133404001,L-8BA0F,Pisana cattle breed (organism)
133405000,L-8BA10,German Brown cattle breed (organism)
133406004,L-8BA11,German Shorthorn cattle breed (organism)
133407008,L-8BA12,Ghana Shorthorn cattle breed (organism)
133408003,L-8BA13,Glan-Donnersberg cattle breed (organism)
133409006,L-8BA14,Gole cattle breed (organism)
133410001,L-8BA15,Golpayegani cattle breed (organism)
133411002,L-8BA16,Gorbatov Red cattle breed (organism)
133412009,L-8BA17,Goryn cattle breed (organism)
133413004,L-8BA19,Greater Caucasus cattle breed (organism)
133414005,L-8BA1A,Polish Black and White Lowland cattle breed (organism)
133415006,L-8BA1B,Polish Simmental cattle breed (organism)
133416007,L-8BA1C,Polled Jersey cattle breed (organism)
133417003,L-8BA1D,Polled Lincoln Red cattle breed (organism)
133418008,L-8BA1E,Polled Shorthorn (United States of America) cattle breed (organism)
133419000,L-8BA1F,Polled Simmental cattle breed (organism)
133420006,L-8BA20,Greek Shorthorn cattle breed (organism)
133421005,L-8BA21,Greek Steppe cattle breed (organism)
133422003,L-8BA22,Gray Alpine cattle breed (organism)
133423008,L-8BA23,Guadiana Spotted cattle breed (organism)
133424002,L-8BA24,Guelma cattle breed (organism)
133425001,L-8BA25,Harz Red cattle breed (organism)
133426000,L-8BA26,Hawaiian wild cattle breed (organism)
133427009,L-8BA27,Hereland cattle breed (organism)
133428004,L-8BA28,Holgus cattle breed (organism)
133429007,L-8BA29,Hrbinecky cattle breed (organism)
133430002,L-8BA2A,Polled Sussex cattle breed (organism)
133431003,L-8BA2B,Polled Welsh Black cattle breed (organism)
133432005,L-8BA2C,Pontremolese cattle breed (organism)
133433000,L-8BA2D,Preta cattle breed (organism)
133434006,L-8BA2E,Puerto Rican Criollo cattle breed (organism)
133435007,L-8BA2F,Pyrenean cattle breed (organism)
133436008,L-8BA30,Huertana cattle breed (organism)
133437004,L-8BA31,Hungarian Pied cattle breed (organism)
133438009,L-8BA32,Hungarofries cattle breed (organism)
133439001,L-8BA33,Improved Rodopi cattle breed (organism)
133440004,L-8BA34,INRA 95 cattle breed (organism)
133441000,L-8BA35,Italian Brown cattle breed (organism)
133442007,L-8BA36,Italian Red Pied cattle breed (organism)
133443002,L-8BA37,Japanese Black cattle breed (organism)
133444008,L-8BA38,Japanese Brown cattle breed (organism)
133445009,L-8BA39,Japanese Poll cattle breed (organism)
133446005,L-8BA3A,Qinchuan cattle breed (organism)
133447001,L-8BA3B,Ramo Grande cattle breed (organism)
133448006,L-8BA3C,Randall Lineback cattle breed (organism)
133449003,L-8BA3D,Red Galloway cattle breed (organism)
133450003,L-8BA3E,Regus cattle breed (organism)
133451004,L-8BA3F,Rendena cattle breed (organism)
133452006,L-8BA40,Japanese Shorthorn cattle breed (organism)
133453001,L-8BA41,Jarmelista cattle breed (organism)
133454007,L-8BA42,Kabyle cattle breed (organism)
133455008,L-8BA43,Kapsiki cattle breed (organism)
133456009,L-8BA44,Katerini cattle breed (organism)
133457000,L-8BA45,Kenran cattle breed (organism)
133458005,L-8BA46,Khevsurian cattle breed (organism)
133459002,L-8BA47,Kilis cattle breed (organism)
133460007,L-8BA48,Kochi cattle breed (organism)
133461006,L-8BA49,Korean Native cattle breed (organism)
133462004,L-8BA4A,Rhaetian Gray cattle breed (organism)
133463009,L-8BA4B,Rio Limon Dairy Criollo cattle breed (organism)
133464003,L-8BA4C,Rodopi cattle breed (organism)
133465002,L-8BA4D,Romanian Red cattle breed (organism)
133466001,L-8BA4E,Romanian Brown cattle breed (organism)
133467005,L-8BA4F,Russian Brown cattle breed (organism)
133468000,L-8BA50,Kostroma cattle breed (organism)
133469008,L-8BA51,Kravarsky cattle breed (organism)
133470009,L-8BA52,Kuchinoshima cattle breed (organism)
133471008,L-8BA53,Murray Gray cattle breed (organism)
133472001,L-8BA54,Australian Shorthorn cattle breed (organism)
133473006,L-8BA55,Kumamoto cattle breed (organism)
133474000,L-8BA56,Lagune cattle breed (organism)
133475004,L-8BA57,Lakenvelder cattle breed (organism)
133476003,L-8BA58,Latvian Blue Roan cattle breed (organism)
133477007,L-8BA59,La Velasquez cattle breed (organism)
133478002,L-8BA5A,Sardinian cattle breed (organism)
133479005,L-8BA5B,Sardinian brown cattle breed (organism)
133480008,L-8BA5C,Savinja Gray cattle breed (organism)
133481007,L-8BA5D,Sayaguesa cattle breed (organism)
133482000,L-8BA5E,Seferihisar cattle breed (organism)
133483005,L-8BA5F,Shkodra Red cattle breed (organism)
133484004,L-8BA60,Lebanese cattle breed (organism)
133485003,L-8BA61,Lebedin cattle breed (organism)
133486002,L-8BA62,Lesser Caucasus cattle breed (organism)
133487006,L-8BA63,Liberian Dwarf cattle breed (organism)
133488001,L-8BA64,Libyan cattle breed (organism)
133489009,L-8BA65,Lim cattle breed (organism)
133490000,L-8BA66,Limiana cattle breed (organism)
133491001,L-8BA67,Limpurger cattle breed (organism)
133492008,L-8BA68,Lobi cattle breed (organism)
133493003,L-8BA69,Lourdais cattle breed (organism)
133494009,L-8BA6A,Slovakian Pied cattle breed (organism)
133495005,L-8BA6B,Slovakian Pinzgau cattle breed (organism)
133496006,L-8BA6C,Slovenian Brown cattle breed (organism)
133497002,L-8BA6D,Somba cattle breed (organism)
133498007,L-8BA6E,South African Brown Swiss cattle breed (organism)
133499004,L-8BA6F,South Anatolian Red cattle breed (organism)
133500008,L-8BA70,Lucerna cattle breed (organism)
133501007,L-8BA71,Luxi cattle breed (organism)
133502000,L-8BA72,Macedonian Busa cattle breed (organism)
133503005,L-8BA73,Makaweli cattle breed (organism)
133504004,L-8BA74,Marinhoa cattle breed (organism)
133505003,L-8BA75,Maronesa cattle breed (organism)
133506002,L-8BA76,Mazury cattle breed (organism)
133507006,L-8BA77,Messaoria cattle breed (organism)
133508001,L-8BA78,Metohija Red cattle breed (organism)
133509009,L-8BA79,Mingrelian Red cattle breed (organism)
133510004,L-8BA7A,Southern Ukrainian cattle breed (organism)
133511000,L-8BA7B,Spanish Brown Alpine cattle breed (organism)
133512007,L-8BA7C,Suksun cattle breed (organism)
133513002,L-8BA7D,Swiss Black Pied cattle breed (organism)
133514008,L-8BA7E,Sychevka cattle breed (organism)
133515009,L-8BA7F,Sykia cattle breed (organism)
133516005,L-8BA80,Minhota cattle breed (organism)
133517001,L-8BA81,Minorcan cattle breed (organism)
133518006,L-8BA82,Mishima cattle breed (organism)
133519003,L-8BA83,Modenese cattle breed (organism)
133520009,L-8BA84,Monchina cattle breed (organism)
133521008,L-8BA85,Montafon cattle breed (organism)
133522001,L-8BA86,Montbeliard cattle breed (organism)
133523006,L-8BA87,Morenas del Noroeste cattle breed (organism)
133524000,L-8BA88,Murcian cattle breed (organism)
133525004,L-8BA89,Murnau-Werdenfels cattle breed (organism)
133526003,L-8BA8A,Tagil cattle breed (organism)
133527007,L-8BA8B,Tajma cattle breed (organism)
133528002,L-8BA8C,Tambov Red cattle breed (organism)
133529005,L-8BA8D,Tarina cattle breed (organism)
133530000,L-8BA8E,Thessaly cattle breed (organism)
133531001,L-8BA8F,Tinima cattle breed (organism)
133532008,L-8BA90,Nantais cattle breed (organism)
133533003,L-8BA91,Nejdi cattle breed (organism)
133534009,L-8BA92,N'Gabou cattle breed (organism)
133535005,L-8BA93,North Finncattle cattle breed (organism)
133536006,L-8BA94,Oropa cattle breed (organism)
133537002,L-8BA95,Oulmes Blond cattle breed (organism)
133538007,L-8BA96,Pajuna cattle breed (organism)
133539004,L-8BA97,Palmera cattle breed (organism)
133540002,L-8BA98,Pankota Red cattle breed (organism)
133541003,L-8BA99,Paphos cattle breed (organism)
133542005,L-8BA9A,Tinos cattle breed (organism)
133543000,L-8BA9B,Transylvanian Pinzgau cattle breed (organism)
133544006,L-8BA9C,Tropical Dairy Cattle cattle breed (organism)
133545007,L-8BA9D,Tropicana cattle breed (organism)
133546008,L-8BA9E,Tudanca cattle breed (organism)
133547004,L-8BA9F,Turino cattle breed (organism)
133548009,L-8BAA0,Turkish Brown cattle breed (organism)
133549001,L-8BAA1,Tux-Zillertal cattle breed (organism)
133550001,L-8BAA2,Tyrol Gray cattle breed (organism)
133551002,L-8BAA3,Abondance cattle breed (organism)
133552009,L-8BAA4,Ala-Tau cattle breed (organism)
133553004,L-8BAA5,Albanian Illyrian cattle breed (organism)
133554005,L-8BAA6,Albanian Dwarf cattle breed (organism)
133555006,L-8BAA7,Ukrainian Whiteheaded cattle breed (organism)
133556007,L-8BAA8,Ural Black Pied cattle breed (organism)
133557003,L-8BAA9,Valdres cattle breed (organism)
133558008,L-8BAAA,Vaynol cattle breed (organism)
133559000,L-8BAAB,Verinesa cattle breed (organism)
133560005,L-8BAAC,Vianesa cattle breed (organism)
133561009,L-8BAAD,Villard-de-Lans cattle breed (organism)
133562002,L-8BAAE,Vogelsberg cattle breed (organism)
133563007,L-8BAAF,Pie Rouge des Plaines cattle breed (organism)
133564001,L-8BAB0,Vorderwald cattle breed (organism)
133565000,L-8BAB1,West African Dwarf Shorthorn cattle breed (organism)
133566004,L-8BAB2,West Finnish cattle breed (organism)
133567008,L-8BAB3,West Macedonian cattle breed (organism)
133568003,L-8BAB4,Whitebred Shorthorn cattle breed (organism)
133569006,L-8BAB5,White Galloway cattle breed (organism)
133570007,L-8BAB6,White Welsh cattle breed (organism)
133571006,L-8BAB7,Witrik cattle breed (organism)
133572004,L-8BAB8,Yacumento cattle breed (organism)
133573009,L-8BAB9,Yaroslavl cattle breed (organism)
133574003,L-8BABA,Yurino cattle breed (organism)
133575002,L-8BABB,Aleppo cattle breed (organism)
133576001,L-8BABC,Schwyz cattle breed (organism)
133577005,L-8BABD,Busa cattle breed (organism)
133578000,L-8BABE,Chiangus cattle breed (organism)
133579008,L-8BABF,Hallingdal cattle breed (organism)
133580006,L-8BAC0,Danish Jersey cattle breed (organism)
133581005,L-8BAC1,Enderby Island cattle breed (organism)
133582003,L-8BAC2,German Angus cattle breed (organism)
133583008,L-8BAC3,Israeli Red cattle breed (organism)
133584002,L-8BAC4,Lineback cattle breed (organism)
133585001,L-8BAC5,Mertolenga cattle breed (organism)
133586000,L-8BAC6,Red Friesian cattle breed (organism)
133587009,L-8BAC7,Senegus cattle breed (organism)
133588004,L-8BAC8,Southern Crioulo cattle breed (organism)
133589007,L-8BAC9,Vosges cattle breed (organism)
133590003,L-8BACA,Montanara cattle breed (organism)
133591004,L-8BACB,Almanzorena cattle breed (organism)
133592006,L-8BACC,Lorquina cattle breed (organism)
133593001,L-8BACD,Calasparrena cattle breed (organism)
133594007,L-8BACE,Amritmahal cattle breed (organism)
133595008,L-8BACF,Bachaur cattle breed (organism)
133596009,L-8BAD0,Barka cattle breed (organism)
133597000,L-8BAD1,Bengali cattle breed (organism)
133598005,L-8BAD2,Bhagnari cattle breed (organism)
133599002,L-8BAD3,Boran cattle breed (organism)
133600004,L-8BAD4,Channi cattle breed (organism)
133601000,L-8BAD5,Cholistani cattle breed (organism)
133602007,L-8BAD6,Dajal cattle breed (organism)
133603002,L-8BAD7,Dangi cattle breed (organism)
133604008,L-8BAD8,Deoni cattle breed (organism)
133605009,L-8BAD9,Dhanni cattle breed (organism)
133606005,L-8BADA,Gaolao cattle breed (organism)
133607001,L-8BADB,Hallikar cattle breed (organism)
133608006,L-8BADC,Hariana cattle breed (organism)
133609003,L-8BADD,Indo-Brazilian cattle breed (organism)
133610008,L-8BADE,Kangayam cattle breed (organism)
133611007,L-8BADF,Kankrej cattle breed (organism)
133612000,L-8BAE0,Kenkatha cattle breed (organism)
133613005,L-8BAE1,Kherigarh cattle breed (organism)
133614004,L-8BAE2,Khillari cattle breed (organism)
133615003,L-8BAE3,Krishna Valley cattle breed (organism)
133616002,L-8BAE4,Lohani cattle breed (organism)
133617006,L-8BAE5,Malvi cattle breed (organism)
133618001,L-8BAE6,Mewati cattle breed (organism)
133619009,L-8BAE7,Nagori cattle breed (organism)
133620003,L-8BAE9,Nelore cattle breed (organism)
133621004,L-8BAEA,Nimari cattle breed (organism)
133622006,L-8BAEB,Ponwar cattle breed (organism)
133623001,L-8BAEC,Rath cattle breed (organism)
133624007,L-8BAED,Rathi cattle breed (organism)
133625008,L-8BAEE,Red Sindhi cattle breed (organism)
133626009,L-8BAEF,Rojhan cattle breed (organism)
133627000,L-8BAF0,Sahiwal cattle breed (organism)
133628005,L-8BAF1,Siri zebu cattle breed (organism)
133629002,L-8BAF2,Tharparkar cattle breed (organism)
133630007,L-8BAF3,Zanzibar Zebu cattle breed (organism)
133631006,L-8BAF4,Arsi cattle breed (organism)
133632004,L-8BAF5,Atpadi Mahal cattle breed (organism)
133633009,L-8BAF6,Azaouak cattle breed (organism)
133634003,L-8BAF7,Azerbaijan Zebu cattle breed (organism)
133635002,L-8BAF8,Baggara cattle breed (organism)
133636001,L-8BAF9,Bambawa cattle breed (organism)
133637005,L-8BAFA,Bami cattle breed (organism)
133638000,L-8BAFB,Banyo cattle breed (organism)
133639008,L-8BAFC,Bargur cattle breed (organism)
133640005,L-8BAFD,Bari cattle breed (organism)
133641009,L-8BAFE,Bimal cattle breed (organism)
133642002,L-8BAFF,Borneo Zebu cattle breed (organism)
133643007,L-8BB00,Butana cattle breed (organism)
133644001,L-8BB01,Chittagong Red cattle breed (organism)
133645000,L-8BB02,Cutchi cattle breed (organism)
133646004,L-8BB03,Dairy Zebu of Uberaba cattle breed (organism)
133647008,L-8BB04,Dashtiari cattle breed (organism)
133648003,L-8BB05,Diali cattle breed (organism)
133649006,L-8BB06,Didinga cattle breed (organism)
133650006,L-8BB07,Dongola cattle breed (organism)
133651005,L-8BB09,Fellata cattle breed (organism)
133652003,L-8BB0A,Turkmen zebu cattle breed (organism)
133653008,L-8BB0B,Abyssinian Highland Zebu cattle breed (organism)
133654002,L-8BB0C,Abyssinian Shorthorned Zebu cattle breed (organism)
133655001,L-8BB0E,Aceh cattle breed (organism)
133656000,L-8BB0F,Achham cattle breed (organism)
133657009,L-8BB10,Garre cattle breed (organism)
133658004,L-8BB11,Gasara cattle breed (organism)
133659007,L-8BB12,Gobra cattle breed (organism)
133660002,L-8BB13,Goomsur cattle breed (organism)
133661003,L-8BB14,Gujamavu cattle breed (organism)
133662005,L-8BB15,Leiqiong cattle breed (organism)
133663000,L-8BB16,Hissar cattle breed (organism)
133664006,L-8BB17,Ingessana cattle breed (organism)
133665007,L-8BB18,Jamaica Brahman cattle breed (organism)
133666008,L-8BB19,Jellicut cattle breed (organism)
133667004,L-8BB1A,Adamawa cattle breed (organism)
133668009,L-8BB1B,Aden Zebu cattle breed (organism)
133669001,L-8BB1C,Afghan cattle breed (organism)
133670000,L-8BB1D,Alambadi cattle breed (organism)
133671001,L-8BB1E,Umblachery cattle breed (organism)
133672008,L-8BB1F,Venezuelan Zebu cattle breed (organism)
133673003,L-8BB20,Pantaneiro cattle breed (organism)
133674009,L-8BB21,Jenubi cattle breed (organism)
133675005,L-8BB22,Jiddu cattle breed (organism)
133676006,L-8BB23,Jijjiga Zebu cattle breed (organism)
133677002,L-8BB24,Kabota cattle breed (organism)
133678007,L-8BB25,Kachcha Siri cattle breed (organism)
133679004,L-8BB26,Kalakheri cattle breed (organism)
133680001,L-8BB27,Kamdhino cattle breed (organism)
133681002,L-8BB28,Kandahari cattle breed (organism)
133682009,L-8BB29,Kaningan cattle breed (organism)
133683004,L-8BB2A,Wakwa cattle breed (organism)
133684005,L-8BB2B,White Fulani cattle breed (organism)
133685006,L-8BB2C,Yemeni Zebu cattle breed (organism)
133686007,L-8BB2D,Iranian Zebu cattle breed (organism)
133687003,L-8BB2E,Khorsan cattle breed (organism)
133688008,L-8BB2F,Polled Gir cattle breed (organism)
133689000,L-8BB30,Kappiliyan cattle breed (organism)
133690009,L-8BB31,Karamajong cattle breed (organism)
133691008,L-8BB32,Kenana cattle breed (organism)
133692001,L-8BB33,Kenya Boran cattle breed (organism)
133693006,L-8BB34,Kenya Zebu cattle breed (organism)
133694000,L-8BB35,Khamala cattle breed (organism)
133695004,L-8BB36,Khurasani zebu cattle breed (organism)
133696003,L-8BB37,Kilara cattle breed (organism)
133697007,L-8BB38,Kinniya cattle breed (organism)
133698002,L-8BB39,Konari cattle breed (organism)
133699005,L-8BB3A,Guzerat cattle breed (organism)
133700006,L-8BB3B,Tadzhik zebu cattle breed (organism)
133701005,L-8BB3C,Deogir cattle breed (organism)
133702003,L-8BB3D,Gayal cattle breed (organism)
133703008,L-8BB3E,American bison X cattle breed (organism)
133704002,L-8BB3F,Australian Braford cattle breed (organism)
133705001,L-8BB40,Krishnagari cattle breed (organism)
133706000,L-8BB41,Kumauni cattle breed (organism)
133707009,L-8BB42,Ladakhi cattle breed (organism)
133708004,L-8BB43,Latuka cattle breed (organism)
133709007,L-8BB44,Lugware cattle breed (organism)
133710002,L-8BB45,Madagascar Zebu cattle breed (organism)
133711003,L-8BB46,Madaripur cattle breed (organism)
133712005,L-8BB47,Magal cattle breed (organism)
133713000,L-8BB48,Malawi Zebu cattle breed (organism)
133714006,L-8BB49,Malnad Gidda cattle breed (organism)
133715007,L-8BB4A,Australian Friesian Sahiwal cattle breed (organism)
133716008,L-8BB4B,Braford cattle breed (organism)
133717004,L-8BB4C,Brahmousin cattle breed (organism)
133718009,L-8BB4D,Canchim cattle breed (organism)
133719001,L-8BB4E,Charbray cattle breed (organism)
133720007,L-8BB4F,Droughtmaster cattle breed (organism)
133721006,L-8BB50,Mampati cattle breed (organism)
133722004,L-8BB51,Manapari cattle breed (organism)
133723009,L-8BB52,Maure cattle breed (organism)
133724003,L-8BB53,Mazandarani cattle breed (organism)
133725002,L-8BB54,Merauke cattle breed (organism)
133727005,L-8BB56,Mhaswad cattle breed (organism)
133728000,L-8BB57,Miniature Zebu cattle breed (organism)
133729008,L-8BB58,Mongalla cattle breed (organism)
133730003,L-8BB59,Morang cattle breed (organism)
133731004,L-8BB5A,Gelbray cattle breed (organism)
133732006,L-8BB5B,Jamaica Black cattle breed (organism)
133733001,L-8BB5C,Jamaica Hope cattle breed (organism)
133734007,L-8BB5D,Jamaica Red cattle breed (organism)
133735008,L-8BB5E,Karan Fries cattle breed (organism)
133736009,L-8BB5F,Karan Swiss cattle breed (organism)
133737000,L-8BB60,Mozambique Angoni cattle breed (organism)
133738005,L-8BB61,Mpwapwa cattle breed (organism)
133739002,L-8BB62,Murle cattle breed (organism)
133740000,L-8BB63,Nakali cattle breed (organism)
133741001,L-8BB64,Nepalese Hill Zebu cattle breed (organism)
133742008,L-8BB65,N'Gaoundere cattle breed (organism)
133743003,L-8BB66,Nkedi cattle breed (organism)
133744009,L-8BB67,North Bangladesh Gray cattle breed (organism)
133745005,L-8BB68,North Somali Zebu cattle breed (organism)
133746006,L-8BB69,Polled Guzerat cattle breed (organism)
133747002,L-8BB6A,Mandalong cattle breed (organism)
133748007,L-8BB6B,Australian Milking Zebu cattle breed (organism)
133749004,L-8BB6C,Red Brangus cattle breed (organism)
133750004,L-8BB6D,Santa Cruz cattle breed (organism)
133751000,L-8BB6E,Siboney cattle breed (organism)
133752007,L-8BB6F,Bambara cattle breed (organism)
133753002,L-8BB70,Polled Nelore cattle breed (organism)
133754008,L-8BB71,Prewakwa cattle breed (organism)
133755009,L-8BB72,Pul-M'bor cattle breed (organism)
133756005,L-8BB73,Punganur cattle breed (organism)
133757001,L-8BB74,Ramgarhi cattle breed (organism)
133758006,L-8BB75,Red Bororo cattle breed (organism)
133759003,L-8BB76,Red Desert cattle breed (organism)
133760008,L-8BB77,Red Kandhari cattle breed (organism)
133761007,L-8BB78,Shakhansurri cattle breed (organism)
133762000,L-8BB79,Sheko cattle breed (organism)
133763005,L-8BB7A,Bambey cattle breed (organism)
133764004,L-8BB7B,Batanes Black cattle breed (organism)
133765003,L-8BB7C,Borgou cattle breed (organism)
133766002,L-8BB7D,Brahorn cattle breed (organism)
133767006,L-8BB7E,Bralers cattle breed (organism)
133768001,L-8BB7F,Bra-Maine cattle breed (organism)
133769009,L-8BB80,Shendi cattle breed (organism)
133770005,L-8BB81,Shuwa cattle breed (organism)
133771009,L-8BB82,Sinhala cattle breed (organism)
133772002,L-8BB83,Sistani cattle breed (organism)
133773007,L-8BB84,Small East African Zebu cattle breed (organism)
133774001,L-8BB85,Sokoto Gudali cattle breed (organism)
133775000,L-8BB86,Somali cattle breed (organism)
133776004,L-8BB87,Sonkheri cattle breed (organism)
133777008,L-8BB88,Son Valley cattle breed (organism)
133778003,L-8BB89,South China Zebu cattle breed (organism)
133779006,L-8BB8A,Bra-Swiss cattle breed (organism)
133780009,L-8BB8B,Bravon cattle breed (organism)
133781008,L-8BB8C,Brazilian Dairy hybrid cattle (organism)
133782001,L-8BB8D,Burmese cattle breed (organism)
133783006,L-8BB8E,Bushuev cattle breed (organism)
133784000,L-8BB8F,Caiua cattle breed (organism)
133785004,L-8BB90,South Malawi Zebu cattle breed (organism)
133786003,L-8BB91,Sudanese Fulani cattle breed (organism)
133787007,L-8BB92,Tabapua cattle breed (organism)
133788002,L-8BB93,Tamankaduwa cattle breed (organism)
133789005,L-8BB94,Tanzanian Zebu cattle breed (organism)
133790001,L-8BB95,Tarai cattle breed (organism)
133791002,L-8BB96,Thillari cattle breed (organism)
133792009,L-8BB97,Toposa cattle breed (organism)
133793004,L-8BB98,Toronke cattle breed (organism)
133794005,L-8BB99,Toupouri cattle breed (organism)
133795006,L-8BB9A,Carazebu cattle breed (organism)
133796007,L-8BB9B,Central Asian Zebu cattle breed (organism)
133797003,L-8BB9C,Charford cattle breed (organism)
133798008,L-8BB9D,Cuban Criollo cattle breed (organism)
133799000,L-8BB9E,Cuban Zebu cattle breed (organism)
133800001,L-8BB9F,Dishty cattle breed (organism)
133801002,L-8BC00,Djakore cattle breed (organism)
133802009,L-8BC01,Gambian N'Dama cattle breed (organism)
133803004,L-8BC03,Ghana Sanga cattle breed (organism)
133804005,L-8BC04,Girolando cattle breed (organism)
133805006,L-8BC05,Guzerando cattle breed (organism)
133806007,L-8BC06,Hatton cattle breed (organism)
133807003,L-8BC07,Ibage cattle breed (organism)
133808008,L-8BC08,Iraqi cattle breed (organism)
133809000,L-8BC09,Jerdi cattle breed (organism)
133810005,L-8BC10,Jersind cattle breed (organism)
133811009,L-8BC11,Jotko cattle breed (organism)
133812002,L-8BC12,Kanem cattle breed (organism)
133813007,L-8BC13,Keteku cattle breed (organism)
133814001,L-8BC14,Lavinia cattle breed (organism)
133815000,L-8BC15,Local Indian Dairy cattle breed (organism)
133816004,L-8BC16,Mantiqueira cattle breed (organism)
133817008,L-8BC17,Ndagu cattle breed (organism)
133818003,L-8BC18,Normanzu cattle breed (organism)
133819006,L-8BC19,Nuba Mountain cattle breed (organism)
133820000,L-8BC20,Pabna cattle breed (organism)
133821001,L-8BC21,Mixed Perijanero cattle breed (organism)
133822008,L-8BC22,Pitangueiras cattle breed (organism)
133823003,L-8BC23,Quasah cattle breed (organism)
133824009,L-8BC24,Rana cattle (organism)
133825005,L-8BC25,Ranger cattle (organism)
133826006,L-8BC26,Renitelo cattle breed (organism)
133827002,L-8BC27,Riopardenze cattle breed (organism)
133828007,L-8BC28,Rustaqi cattle breed (organism)
133829004,L-8BC29,Sabre cattle breed (organism)
133830009,L-8BC30,Sahford cattle breed (organism)
133831008,L-8BC31,Schwyz-Zeboid cattle breed (organism)
133832001,L-8BC32,Suia cattle breed (organism)
133833006,L-8BC33,Suisbu cattle breed (organism)
133834000,L-8BC34,Sunandini cattle breed (organism)
133835004,L-8BC35,Taino cattle breed (organism)
133836003,L-8BC36,Thibar cattle breed (organism)
133837007,L-8BC37,Toubou cattle breed (organism)
133838002,L-8BC38,Tropical cattle breed (organism)
133839005,L-8BC39,TSSH-1 cattle breed (organism)
133840007,L-8BC40,Victoria cattle breed (organism)
133841006,L-8BC41,Wokalup cattle breed (organism)
133842004,L-8BC42,Madura cattle breed (organism)
133855003,M-78731,Radial scar (morphologic abnormality)
133874006,P1-86C50,Selective fetal reduction (procedure)
133875007,P1-93506,Injection of prostaglandin (procedure)
133882006,P2-71317,Drug infusion challenge (procedure)
133884007,P5-B3402,Computer assisted image analysis for spatial collocation (procedure)
133885008,P5-B3404,Computer assisted image analysis for spatial proximity (procedure)
133886009,P5-B3406,Computer assisted image analysis for temporal correlation (procedure)
133887000,P5-B3408,Computer assisted image analysis for image quality (procedure)
133888005,P5-B3410,Computer assisted image analysis for focal asymmetric density (procedure)
133889002,P5-B3412,Computer assisted image analysis for asymmetric breast tissue (procedure)
133890006,P5-B3414,Computer assisted image analysis for breast composition analysis (procedure)
133910006,PA-5003B,Conductance catheter method (procedure)
133911005,PA-5003C,Doppler catheter method (procedure)
133912003,PA-5003D,Fiberoptic catheter method (procedure)
133913008,PA-5003E,Hall catheter method (procedure)
133914002,PA-5003F,Thermistor catheter method (procedure)
133943005,T-D2340,Left lumbar region (body structure)
133944004,T-D2342,Right lumbar region (body structure)
133945003,T-D4211,Left hypochondriac region structure (body structure)
133946002,T-D4212,Right hypochondriac region structure (body structure)
134198009,G-C150,Etiology (attribute)
134223000,R-41727,Narrow (qualifier value)
143824007,T-C4147,Structure of intraglandular parotid lymph node (body structure)
143925009,T-C4155,Structure of buccinator lymph node (body structure)
144026003,T-C4156,Structure of nasolabial lymph node (body structure)
155237005,T-C421D,Structure of inferior auricular lymph node (body structure)
155338003,T-C4102,Structure of mandibular lymph node (body structure)
158965000,J-0016E,Medical practitioner (occupation)
158971006,J-00172,Hospital registrar (occupation)
159016003,J-00187,Medical radiographer (occupation)
160270001,R-20773,No family history: Cardiovascular disease (situation)
160274005,R-2087E,No family history diabetes (situation)
160303001,G-0157,Family history: Diabetes mellitus (situation)
160476009,F-02455,Social / personal history observable (observable entity)
160573003,F-02573,Alcohol intake (observable entity)
161045001,F-0351E,Disability - severe (finding)
161432005,G-0239,History of malignant melanoma (situation)
161445009,G-023F,History of diabetes mellitus (situation)
161453001,G-0244,History of obesity (situation)
161501007,G-0269,History of hypertension (situation)
161505003,G-026D,History of heart failure (situation)
161622006,G-02BD,History of lower limb amputation (situation)
161656000,G-02D0,History of regular medication (situation)
161763005,G-0304,History of ectopic pregnancy (situation)
161765003,G-0305,History of premature delivery (situation)
161798008,G-0319,History of female infertility (situation)
161806007,G-031E,History of eclampsia (situation)
161807003,G-031F,History of severe pre-eclampsia (situation)
161901003,F-0600C,Chronic sick (finding)
161971004,F-A265A,Chest pain not present (situation)
162164007,F-03753,Nipple discharge symptom (finding)
162290004,F-F1722,Dry eyes (finding)
162467007,R-209F6,Free of symptoms (situation)
162499001,R-20A12,Symptom has changed (finding)
164150006,R-20099,On examination - axillary lymphadenopathy (disorder)
